,dG_kcal_mol,ddG_kcal_mol
0_PXP_cat_ts_0,13.3125039421929,20.3283364719612
1_PXP_cat_ts_0,12.284153430735156,21.58443848668811
2_PXP_cat_ts_0,11.376651512420716,19.43453800420099
4_PXP_cat_ts_0,13.176079022238214,19.70816758414069
5_PXP_cat_ts_0,8.114951496537419,20.816149499023098
6_PXP_cat_ts_0,20.496784528574526,24.573392187710958
7_PXP_cat_ts_0,21.218573042546133,23.108031189488788
8_PXP_cat_ts_0,14.608223598597155,20.750902015822675
10_PXP_cat_ts_0,16.28894947965287,20.731293140807693
11_PXP_cat_ts_0,11.367189864273545,18.9289619612513
13_PXP_cat_ts_0,21.433305448368856,24.294513376429318
14_PXP_cat_ts_0,11.533740227039635,19.209523331232543
16_PXP_cat_ts_0,13.598832625048225,21.098629449063726
17_PXP_cat_ts_0,23.284456339226445,25.22048976048421
21_PXP_cat_ts_0,17.302995585052436,21.660537965520845
22_PXP_cat_ts_0,15.628957004963558,21.698321407801156
23_PXP_cat_ts_0,10.983425936214127,16.186443286259113
24_PXP_cat_ts_0,16.778660453674593,21.777215827819727
25_PXP_cat_ts_0,15.825721516946158,20.10880437589199
26_PXP_cat_ts_0,10.613011964283851,19.16070250418135
27_PXP_cat_ts_0,21.415153234056078,21.7832598723752
29_PXP_cat_ts_0,10.848154341348746,21.61671472481293
30_PXP_cat_ts_0,15.811874448536223,21.21037691200276
31_PXP_cat_ts_0,17.43715856415792,21.783688647964958
32_PXP_cat_ts_0,12.792298224951994,18.9750367768917
33_PXP_cat_ts_0,15.15538673320804,20.68841810325562
34_PXP_cat_ts_0,11.178007696205405,22.452680290715687
35_PXP_cat_ts_0,16.349471965648522,21.186417420420245
36_PXP_cat_ts_0,9.942459906068766,21.774832859770633
37_PXP_cat_ts_0,17.49269484189204,21.75406703761655
39_PXP_cat_ts_0,9.787665544979133,21.87236569514681
40_PXP_cat_ts_0,14.145077940287575,20.51319084440157
41_PXP_cat_ts_0,14.282590989291288,19.842946684960044
42_PXP_cat_ts_0,14.723892128337564,20.885365887020026
45_PXP_cat_ts_0,22.10935946043657,23.412863421206854
46_PXP_cat_ts_0,14.016207454517385,19.515695848359943
48_PXP_cat_ts_0,26.433772068871345,26.83392494986157
49_PXP_cat_ts_0,12.709121785588822,19.466122802636075
50_PXP_cat_ts_0,8.67774737638618,21.088464065718927
51_PXP_cat_ts_0,18.47461164916097,21.801692638172298
52_PXP_cat_ts_0,10.453572261122389,20.045013548828035
53_PXP_cat_ts_0,17.01655225389119,21.470061471241067
54_PXP_cat_ts_0,16.719688546565774,20.99645715712561
55_PXP_cat_ts_0,14.858445434173776,20.152654347801104
56_PXP_cat_ts_0,9.476779402450827,18.134203342425135
57_PXP_cat_ts_0,12.753727903838886,17.785371286439453
58_PXP_cat_ts_0,10.185732310198137,17.211190484529485
59_PXP_cat_ts_0,11.364955792633463,17.886144931824102
60_PXP_cat_ts_0,13.101334206295071,21.49082144954753
61_PXP_cat_ts_0,17.941337376786176,21.66254707228437
62_PXP_cat_ts_0,14.112235678765161,20.25082397337511
63_PXP_cat_ts_0,15.220782278715886,20.767752925492562
64_PXP_cat_ts_0,11.597978003291821,18.710125754745334
65_PXP_cat_ts_0,14.901953792825799,20.645763706549495
68_PXP_cat_ts_0,11.583728937006688,16.101372260312576
69_PXP_cat_ts_0,12.93410768932884,17.471638104905136
70_PXP_cat_ts_0,21.851601768055573,24.51542317690967
71_PXP_cat_ts_0,11.070834748612773,19.41721926769146
72_PXP_cat_ts_0,13.631627886101406,22.787735720924918
73_PXP_cat_ts_0,14.099806535413554,20.024840243854843
74_PXP_cat_ts_0,14.724334887328112,22.877261937464123
75_PXP_cat_ts_0,15.407765959008094,21.612433354943267
79_PXP_cat_ts_0,12.428806707859842,20.01700618074862
80_PXP_cat_ts_0,11.193023922796351,17.61200370032533
81_PXP_cat_ts_0,13.326449077893589,20.746481652324594
85_PXP_cat_ts_0,15.044990385016538,21.54533395046913
86_PXP_cat_ts_0,16.299777866757182,21.995624393034202
88_PXP_cat_ts_0,13.31997753415494,17.1486280773807
89_PXP_cat_ts_0,12.740853600779412,21.060550466581876
90_PXP_cat_ts_0,15.26511983251746,20.60728406594852
91_PXP_cat_ts_0,11.887818375143294,18.71785539135654
92_PXP_cat_ts_0,15.739315119741365,19.173214268392172
94_PXP_cat_ts_0,17.957204738851477,21.69487537084746
95_PXP_cat_ts_0,17.190054350944038,21.783982372433194
96_PXP_cat_ts_0,15.399865347835126,19.082954943323905
98_PXP_cat_ts_0,18.753865940849792,22.36209347019476
99_PXP_cat_ts_0,19.651533738569142,22.599853214407982
100_PXP_cat_ts_0,18.055890941264593,26.599986663084035
102_PXP_cat_ts_0,18.44011437055703,22.918906590696178
103_PXP_cat_ts_0,15.147970067609831,19.835302840106763
105_PXP_cat_ts_0,12.939499899039088,20.299070231125665
107_PXP_cat_ts_0,9.192357026119561,17.904862508930574
108_PXP_cat_ts_0,10.719969278493695,21.077837005856654
109_PXP_cat_ts_0,10.295081223967536,18.81086710701493
110_PXP_cat_ts_0,10.937782808813155,18.578091556720725
112_PXP_cat_ts_0,17.23884325812851,22.374726409420948
114_PXP_cat_ts_0,15.316366961235968,21.02549952343772
115_PXP_cat_ts_0,16.550975901112388,22.719463210055714
116_PXP_cat_ts_0,10.90553422702035,21.747240279599815
117_PXP_cat_ts_0,14.149094323528049,19.6090978727715
118_PXP_cat_ts_0,10.977184297756052,18.195851712052693
119_PXP_cat_ts_0,14.488275247625248,20.733884080375795
121_PXP_cat_ts_0,9.6355395896089,19.200479002119923
122_PXP_cat_ts_0,11.127633499180243,18.42249679624827
123_PXP_cat_ts_0,13.41191532103721,20.32569869942905
126_PXP_cat_ts_0,11.353622671334698,20.431807917513183
127_PXP_cat_ts_0,15.782318008831226,19.361586467309742
130_PXP_cat_ts_0,12.529017926785185,17.564869124792338
di_pn_pyridine_2,-0.2202323533228623,14.752553942288413
di_pn_cyclopentene_4,2.4584736216250676,18.322317366495657
di_pn_13-xylene_4,-3.281747743622404,12.86544752210959
di_pn_ethane_1,-3.673693292338791,15.709125598351827
di_pn_pyridine_3,0.3285996490788457,15.432598577468864
di_pn_benzonitrile_6,0.11863066820342828,14.377033782446135
di_pn_1H-pyrrole_1,-5.062574426586788,14.90234530379246
di_pn_ethanol_3,2.306313734043109,16.927023894598346
di_pn_pyrrolidine_2,-0.6671824778158898,15.008953551763518
di_pn_cyclobutane_1,-1.9712955858638175,16.235350705497577
di_pn_NN-dimethylaniline_7,-6.004461321983898,13.162682989629223
di_pn_1H-pyrrole_3,-3.515516725182799,15.712516082655371
di_pn_fluorobenzene_5,-1.9205808530935793,14.08966431087246
di_pn_pyrrolidine_3,-1.832264879732126,15.916707335087686
di_pn_cyclohexane_1,0.2014366466076108,16.7716830177585
di_pn_1H-pyrrole_4,3.103171263810335,15.482228829492813
di_pn_fluoroform_2,8.370457827433754,17.00895278906412
di_pn_pyrrolidine_4,-3.8462389682091587,16.598534289858556
di_pn_cyclopenta-13-diene_1,-2.9995007698857443,15.378763940898232
di_pn_oxolane_1,1.1333186822682628,19.007922512713854
di_pn_222-trifluoroethanol_1,6.618687020773252,16.728178944899113
di_pn_furan_1,-1.8577172442394336,14.995784918991374
di_pn_oxolane_3,-1.9908424694094815,15.570397508445375
di_pn_furan_3,-0.2320572004837677,15.423025272994982
di_pn_trifluoromethanol_1,8.108953044209175,16.21971111765889
di_pn_cyclopenta-13-diene_3,4.199794184549812,18.735133422110184
di_pn_phenol_1,2.495840219706631,15.224717336622716
di_pn_2-methylpropane_1,1.2713845020707604,17.17678057029171
di_pn_methane_1,-3.093198545663806,16.284603665661407
di_pn_trifluoromethylbenzene_8,-0.9154770447510592,13.799657829243353
di_pn_cyclopentane_1,-2.2586799214532425,16.39502543839957
di_pn_propane_1,3.0538441602044,18.464697763284725
di_pn_2-methylpropane_2,-3.903126917424378,13.922452681892052
di_pn_cyclopentene_2,-2.204121015890031,16.658208696849982
di_pn_methanol_2,1.1339955843918657,16.631341440355115
di_pn_anisole_6,-3.7874788932284718,13.773489068772216
di_pn_cyclopentene_3,-0.9638278300133843,16.41658067964386
di_pn_naphthalene_1,-2.7015155959857595,13.985961415967466
di_pn_pyridine_1,0.48571330370645,14.536931760086334
di_pn_benzene_1,-2.042132,13.68944297
